model_key,model,family,size,is_edge,architecture,architecture_display,n_items,completude_mean,completude_ci_low,completude_ci_high,fidelidade_mean,fidelidade_ci_low,fidelidade_ci_high,rastreabilidade_mean,rastreabilidade_ci_low,rastreabilidade_ci_high,quality_mean,quality_ci_low,quality_ci_high,quality_S,quality_NS,quality_H,routing_accuracy,routing_ci_low,routing_ci_high,agent_match_rate,agent_ci_low,agent_ci_high,sql_match_rate,sql_ci_low,sql_ci_high,retrieval_precision_mean,retrieval_precision_ci_low,retrieval_precision_ci_high,retrieval_recall_mean,retrieval_recall_ci_low,retrieval_recall_ci_high,latency_mean,latency_ci_low,latency_ci_high,latency_median,input_tokens_mean,output_tokens_mean,total_tokens_mean
gemini-pro,Gemini Pro,gemini,large,False,no-verifier,Sem Verificação,30,1.3777777777777778,1.1777777777777778,1.5555555555555558,1.744444444444444,1.6444444444444442,1.833333333333333,1.9666666666666666,1.9222222222222223,2.0,1.696296296296296,1.6185185185185185,1.7666666666666666,1.7555555555555558,1.722222222222222,1.6111111111111112,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.45,0.85,0.825,0.7,0.95,0.9164999999999999,0.783,1.0,29.159333333333333,26.444658333333326,31.811449999999994,29.37,12918.7,3161.0,16079.7
gemini-pro,Gemini Pro,gemini,large,False,poc,Simples,30,1.1888888888888889,1.0222222222222224,1.3555555555555556,1.8888888888888888,1.8222222222222222,1.9444444444444444,1.622222222222222,1.5444444444444443,1.7,1.5666666666666664,1.4851851851851854,1.648148148148148,1.5666666666666667,1.7,1.4333333333333331,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.25,0.65,0.775,0.625,0.9,0.875,0.725,1.0,23.998666666666665,21.755658333333336,26.424341666666667,22.63,12109.8,2450.8333333333335,14560.633333333333
gpt-nano,GPT-5 Nano,gpt,small,False,full,Completa,30,1.4333333333333336,1.2222222222222223,1.6222222222222225,1.6666666666666667,1.5999999999999994,1.7333333333333332,1.911111111111111,1.8444444444444446,1.9666666666666666,1.6703703703703703,1.5777777777777777,1.7592592592592593,1.6555555555555557,1.722222222222222,1.6333333333333335,0.9,0.7666666666666667,1.0,1.0,1.0,1.0,0.55,0.35,0.75,0.6495,0.48200000000000004,0.8164999999999999,0.85,0.7,1.0,29.654666666666664,23.337866666666667,36.89206666666665,21.575,36060.73333333333,3385.866666666667,39446.6
gpt-nano,GPT-5 Nano,gpt,small,False,no-synthesizer,Sem Síntese,30,1.1444444444444446,0.9444444444444445,1.344444444444444,1.7555555555555553,1.6666666666666667,1.8333333333333333,1.8777777777777775,1.7888888888888888,1.9444444444444444,1.5925925925925921,1.5111111111111115,1.6666666666666667,1.5333333333333334,1.6333333333333335,1.6111111111111114,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.35,0.15,0.55,0.6335,0.4585,0.8,0.8,0.6,0.95,9.136666666666667,7.849958333333334,10.595383333333334,8.55,12745.6,936.7,13682.3
gpt-nano,GPT-5 Nano,gpt,small,False,no-verifier,Sem Verificação,30,1.1999999999999997,1.0111111111111108,1.3999999999999997,1.6555555555555554,1.5666666666666664,1.7444444444444442,1.9333333333333333,1.8777777777777778,1.9777777777777779,1.596296296296296,1.5222222222222221,1.6740740740740738,1.511111111111111,1.7555555555555558,1.5222222222222221,0.9,0.7666666666666667,1.0,1.0,1.0,1.0,0.4,0.2,0.6,0.725,0.55,0.9,0.8,0.6,0.95,10.079333333333333,8.818983333333334,11.391666666666667,9.79,13800.566666666668,989.0666666666667,14789.633333333333
gpt-nano,GPT-5 Nano,gpt,small,False,poc,Simples,30,1.0666666666666667,0.8555555555555556,1.2777777777777775,1.744444444444444,1.6666666666666665,1.8222222222222222,1.7333333333333332,1.622222222222222,1.833333333333333,1.514814814814815,1.4185185185185187,1.611111111111111,1.4666666666666666,1.6222222222222222,1.4555555555555557,0.9666666666666667,0.9,1.0,0.9666666666666667,0.9,1.0,0.4,0.2,0.6,0.725,0.55,0.9,0.8,0.6,0.95,7.212666666666667,6.585325000000001,7.884683333333333,6.875,10970.833333333334,498.6666666666667,11469.5
gpt-mini,GPT-5 Mini,gpt,medium,False,full,Completa,30,1.3555555555555552,1.1555555555555554,1.5555555555555556,1.5888888888888888,1.4555555555555555,1.7111111111111112,1.9666666666666666,1.9333333333333331,2.0,1.6370370370370368,1.5444444444444443,1.7259259259259254,1.6333333333333333,1.7555555555555558,1.5222222222222226,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.5,0.3,0.7,0.8,0.675,0.925,0.8915,0.758,1.0,11.668333333333333,10.106308333333336,13.341016666666667,10.295,21478.066666666666,1366.5666666666666,22844.633333333335
gpt-mini,GPT-5 Mini,gpt,medium,False,no-synthesizer,Sem Síntese,30,1.2666666666666664,1.0333333333333334,1.4888888888888887,1.7888888888888888,1.7111111111111108,1.8666666666666667,1.8222222222222222,1.7555555555555553,1.8888888888888888,1.6259259259259262,1.540740740740741,1.711111111111111,1.5333333333333334,1.7333333333333336,1.6111111111111114,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.5,0.3,0.7,0.775,0.65,0.9,0.8915,0.758,1.0,5.737000000000001,5.263999999999999,6.257008333333333,5.67,11922.3,533.6666666666666,12455.966666666667
gpt-mini,GPT-5 Mini,gpt,medium,False,no-verifier,Sem Verificação,30,1.3777777777777775,1.1777777777777778,1.5666666666666667,1.6999999999999995,1.5999999999999994,1.7888888888888888,1.9444444444444444,1.8999999999999997,1.9888888888888887,1.674074074074074,1.5925925925925923,1.7555555555555553,1.6888888888888889,1.788888888888889,1.5444444444444445,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.7,0.775,0.65,0.9,0.8915,0.758,1.0,6.165,5.656325,6.695666666666668,5.82,12619.366666666667,669.6666666666666,13289.033333333333
gpt-mini,GPT-5 Mini,gpt,medium,False,poc,Simples,30,1.0444444444444445,0.8777777777777777,1.2222222222222219,1.7,1.5666666666666667,1.8222222222222222,1.5888888888888886,1.4888888888888885,1.6777777777777778,1.4444444444444444,1.3481481481481483,1.5333333333333337,1.4555555555555557,1.6,1.2777777777777777,0.9666666666666667,0.9,1.0,0.9666666666666667,0.9,1.0,0.35,0.15,0.55,0.75,0.575,0.9,0.85,0.7,1.0,4.429666666666667,4.105325,4.774008333333334,4.24,10937.333333333334,276.6666666666667,11214.0
